Trading Name,Trading Code,CCY,Underlying Benchmark,Close,Last,Chng %,Val ($M),Yield (%),TER (%),Documents,Fund Manager,TR 1M (%),TR 3M (%),TR 1Y (%),Ann. TR 1Y (%),Ann. TR 3Y (%),Asset Class,Geographical Focus,Income Treatment,Sustainability linked,Management Style,CPF Eligibility,SIP/EIP,Tick Size
GLD SG$,GSD,SGD,LBMA Gold Price PM,489.7,489,-0.143,0.57964055,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/0dece818bfaa2fdb1d871c46e17739de_111982/MR_SG_en_US78463V1070_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-10-15): https://api.fundinfo.com/document/23383def0b5a19dc6674ba482750eaf3_236325/PHS_SG_en_US78463V1070_YES_2025-10-15.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2023-09-08): https://api.fundinfo.com/document/7a7ff2cbf7556850487b9f257c2add72_717890/PR_SG_en_US78463V1070_YES_2023-09-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,State Street Investment Management,-6.23,-14.18,30.28,30.28,28.33,Commodities,Gold,-,No,PASSIVE,Yes,EIP,0.01
Amova-STC Asia REIT,CFA,SGD,FTSE EPRA/NAREIT Asia ex Japan Net Total Return REIT Index,0.785,0.787,0.255,0.479645956,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/85d1e94f86b2f08569b0ae579db268aa_244231/MR_SG_en_SG1DE9000003_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-12-31): https://api.fundinfo.com/document/445ae4d53c62c31f6bf3cdb1a1625e31_1297793/SAR_SG_en_SG1DE9000003_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-09-18): https://api.fundinfo.com/document/9d5c2540bf7b39a6ac617f1543c8cb55_1281788/PR_SG_en_SG1DE9000003_YES_2025-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-09-18): https://api.fundinfo.com/document/f7fa10fc14a51d995319f895aeba1740_257852/PHS_SG_en_SG1DE9000003_YES_2025-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-06-30): https://api.fundinfo.com/document/9ff79ee159cc711a7c13eee36635eba2_1281187/AR_SG_en_SG1DE9000003_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amova Asset Management Asia Limited,-3.09,-3.46,6.67,6.64,1.94,REITs,Asia,Distributing,No,PASSIVE,Yes,EIP,0.001
Amova SGD IGBond ETF,MBH,SGD,iBoxx SGD Non-Sovereigns Large Cap Investment Grade Index,1.006,1.005,-0.099,0.47336485,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/d151c9b3942c40326a73f7b640a28199_246867/MR_SG_en_SGXC70121915_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-03-17): https://api.fundinfo.com/document/eb0267fd367ade91c950869a3480496f_263885/PHS_SG_en_SGXC70121915_YES_2026-03-17.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-03-17): https://api.fundinfo.com/document/24136fc10107ac46af205722ebf24508_1105991/PR_SG_en_SGXC70121915_YES_2026-03-17.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-12-31): https://api.fundinfo.com/document/ce38c1e89053c9fbb39fbcacb1d222ea_1122081/SAR_SG_en_SGXC70121915_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-06-30): https://api.fundinfo.com/document/83ebcee49efe9148ef41872fd8655485_1217598/AR_SG_en_SGXC70121915_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amova Asset Management Asia Limited,-0.05,0.27,4.03,4.01,5.89,Fixed Income,Singapore,Distributing,No,PASSIVE,Yes,EIP,0.001
GLD US$,O87,USD,LBMA Gold Price PM,378.96,379.1,0.037,0.46643235,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/0dece818bfaa2fdb1d871c46e17739de_111982/MR_SG_en_US78463V1070_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-10-15): https://api.fundinfo.com/document/23383def0b5a19dc6674ba482750eaf3_236325/PHS_SG_en_US78463V1070_YES_2025-10-15.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2023-09-08): https://api.fundinfo.com/document/7a7ff2cbf7556850487b9f257c2add72_717890/PR_SG_en_US78463V1070_YES_2023-09-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,State Street Investment Management,-7.97,-14.96,30.19,30.19,30.03,Commodities,Gold,-,No,PASSIVE,Yes,EIP,0.01
ABF SG BOND ETF,A35,SGD,iBoxx ABF Singapore Bond Index,1.125,1.127,0.178,0.402064647,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/c0f8fe205a199cd7162681054f465281_177587/MR_SG_en_SG1S08926457_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-03-17): https://api.fundinfo.com/document/44cff137966e0f2386f1da9ea4c47e84_261261/PHS_SG_en_SG1S08926457_YES_2026-03-17.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-03-17): https://api.fundinfo.com/document/eafd88e6ce734d325bcc622a68d400fd_1253938/PR_SG_en_SG1S08926457_YES_2026-03-17.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-12-31): https://api.fundinfo.com/document/318ca6630c19dff0c431e0a39fe6a213_1174431/SAR_SG_en_SG1S08926457_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-06-30): https://api.fundinfo.com/document/c3765418b7842bce67f503f308cc3b5b_1162018/AR_SG_en_SG1S08926457_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amova Asset Management Asia Limited,0.56,0.5,4.51,4.51,5.04,Fixed Income,Singapore,Distributing,No,PASSIVE,Yes,EIP,0.001
UOBAM PA FT ASEAN DV S$,UPD,SGD,FTSE ASEAN ex REITs Target Dividend Index,0.975,0.979,0.41,0.342720779,,,,UOB Asset Management,,,,,,Equities,South-East Asia,Distributing,No,PASSIVE,No,EIP,0.001
Amova STI ETF S$A,GAB,SGD,Straits Times Index,5.076,5.14,1.581,0.208650312,,,,Amova Asset Management Asia Limited,,,,,,Equities,Singapore,Accumulating,No,PASSIVE,Yes,EIP,0.001
CSOP iEdge SREIT ETF S$,SRT,SGD,iEdge SREIT Leaders Index,0.745,0.748,0.403,0.170960794,,,Product Highlight Sheet (2026-05-08): https://api.fundinfo.com/document/c3f8a4fb5ce2182828528c5d7dc4812a_285063/PHS_SG_en_SGXC35358685_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-05-08): https://api.fundinfo.com/document/209a3874b3a2cb0e4d06dc1319507f51_1820677/PR_SG_en_SGXC35358685_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/56b14697fa90505ad31e3caeb7335be4_509070/SAR_SG_en_SGXC35358685_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,-1.53,-2.34,10.05,9.99,1.93,REITs,Singapore,Distributing,No,PASSIVE,No,EIP,0.001
SS SPDR S&P500 USD,S27,USD,S&P 500® Index,749.74,746.01,-0.405,0.12548986,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/48d71299b2cf489cc01d34f1ac25b1ad_110644/MR_SG_en_US78462F1030_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-01-28): https://api.fundinfo.com/document/6961a3657c16de92197ed02419f0f70a_221618/PHS_SG_en_US78462F1030_YES_2025-01-28.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2024-09-30): https://api.fundinfo.com/document/d9ef838a020704b3c57f0caf02b03d86_603698/AR_SG_en_US78462F1030_YES_2024-09-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-03-31): https://api.fundinfo.com/document/d184ad8527ec5638ecd0f663a711faba_175283/SAR_SG_en_US78462F1030_YES_2024-03-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2023-01-30): https://api.fundinfo.com/document/01e54f1b32c87eb21c048aa462ff8474_581898/PR_SG_en_US78462F1030_YES_2023-01-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,State Street Investment Management,-0.08,9.87,24.44,24.44,21.37,Equities,USA,Distributing,No,PASSIVE,No,SIP,0.01
IS ASIA HYG US$,O9P,USD,Bloomberg Asia USD High Yield Diversified Credit Index,6.69,6.68,-0.149,0.11655025,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/f66acc3798d998e95ef22eace2ce2e44_254969/MR_SG_en_SG2D83975482_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/06ac477e6919c2a6bfa27467cfea1520_626745/SAR_SG_en_SG2D83975482_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2022-06-24): https://api.fundinfo.com/document/500e07cb91a371ffe733b8e1b63bdb25_834223/PR_SG_en_SG2D83975482_YES_2022-06-24.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Black Rock Singapore (Ltd),0.44,0.81,9.01,9.01,9.3,Fixed Income,Asia,Distributing,No,PASSIVE,No,EIP,0.01
A Lion-Nomura Japan S$,JJJ,SGD,Topix Index,1.592,1.58,-0.94,0.10081128,,,Monthly Report (2026-04-30): https://api.fundinfo.com/document/106ab7ba095ffb30f2eaa986c985a4d9_173117/MR_SG_en_SGXC22115700_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/bb818dcd6beb38c6b9d7c0fd1451151a_829162/AR_SG_en_SGXC22115700_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-12-26): https://api.fundinfo.com/document/bc024ddf3f7a34f88e0cf3cacababd98_605204/PR_SG_en_SGXC22115700_YES_2025-12-26.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/360a9ac86c823679385a87a072938ee8_353119/SAR_SG_en_SGXC22115700_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2024-12-27): https://api.fundinfo.com/document/4ffb4a4a8b1b37f4e784ada68049d26e_112336/PHS_SG_en_SGXC22115700_YES_2024-12-27.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,3.47,6.89,38.69,38.44,,Equities,Japan,Accumulating,No,ACTIVE,No,EIP,0.001
Lion SG Phy Gold S$,GLS,SGD,LBMA Gold Price AM,5.74,5.739,-0.017,0.098865381,,,,,,,,,,COMMODITIES,Singapore,NA,,PASSIVE,N,EIP,
CSOP iEdge SREIT ETF US$,SRU,USD,iEdge SREIT Leaders Index,0.577,0.578,0,0.08812766,,,Product Highlight Sheet (2026-05-08): https://api.fundinfo.com/document/c3f8a4fb5ce2182828528c5d7dc4812a_285063/PHS_SG_en_SGXC35358685_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-05-08): https://api.fundinfo.com/document/209a3874b3a2cb0e4d06dc1319507f51_1820677/PR_SG_en_SGXC35358685_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/56b14697fa90505ad31e3caeb7335be4_509070/SAR_SG_en_SGXC35358685_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,-3.17,-3.28,9.65,9.59,3.46,REITs,Singapore,Distributing,No,PASSIVE,No,EIP,0.001
Lion-OSPL Low Carbon US$,ESU,USD,iEdge-OCBC Singapore Low Carbon Select 40 Capped Index,1.103,1.098,-0.543,0.0751703,,,Monthly Report (2026-04-30): https://api.fundinfo.com/document/788aa3d1ed9be18c31b8e09f15244e6a_171735/MR_SG_en_SGXC60641310_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-03-20): https://api.fundinfo.com/document/f7e6e0cf0266425c622aa99529c61528_898534/PR_SG_en_SGXC60641310_YES_2026-03-20.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/ca9e859373366c857873692d37b3b299_654008/AR_SG_en_SGXC60641310_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/c0f90c0017c59132c7d776ecb05dd741_216990/SAR_SG_en_SGXC60641310_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-03-21): https://api.fundinfo.com/document/f41945e869889f8e14bcbdf00d95e9f7_88044/PHS_SG_en_SGXC60641310_YES_2025-03-21.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,-1.1,2.28,17.79,17.79,19.51,Equities,Singapore,Distributing,Yes,PASSIVE,No,EIP,0.001
XT MSCHINA S$,TID,SGD,MSCI China TR Net Daily USD Index,22.55,23,2.222,0.07166343,,,Prospectus (2026-06-18): https://api.fundinfo.com/document/524b6958a32c40db4e7bcd7570f4a7b0_4365618/PR_SG_en_LU0514695690_YES_2026-06-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-06-18): https://api.fundinfo.com/document/3be26b936fdaeea2c6931798da1944f3_63051/PHS_SG_en_LU0514695690_YES_2026-06-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/b19b04bab7cd60922c0d96d7b2e2f774_3608253/AR_SG_en_LU0514695690_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/8d845f18dc319ce0fde262920a164de6_1349897/SAR_SG_en_LU0514695690_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,DWS Investments,-4.23,-3.5,3.17,3.17,7.76,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.01
IS INDIA CLIMATE S$D,QK9,SGD,MSCI India ESG Enhanced Focus CTB Select Index,16.48,16.25,-1.396,0.06701076,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/709f7c781bf9477d5bbc42688cc05233_239182/MR_SG_en_SG1T41930465_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2024-12-31): https://api.fundinfo.com/document/70e705441f4f69c0f6e9cdaf8999219e_644804/AR_SG_en_SG1T41930465_YES_2024-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/06ac477e6919c2a6bfa27467cfea1520_626745/SAR_SG_en_SG1T41930465_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2023-03-06): https://api.fundinfo.com/document/af8882ad8b9a7d6657eac12f794ece47_1274868/PR_SG_en_SG1T41930465_YES_2023-03-06.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Black Rock Singapore (Ltd),,,,,,Equities,India,Accumulating,Yes,PASSIVE,No,EIP,0.01
Lion-OSPL APAC Fin S$,YLD,SGD,iEdge APAC Financials Dividend Plus Index,1.467,1.484,1.159,0.06515842,,,Monthly Report (2026-04-30): https://api.fundinfo.com/document/bc267b0eda95edfe4bdd66d2205c71d4_200145/MR_SG_en_SGXC10762612_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-03-20): https://api.fundinfo.com/document/0a8b412f4d979cd67b80afe0e198f582_711030/PR_SG_en_SGXC10762612_YES_2026-03-20.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/7389663c1b32f99d05a07871ebdb7ea2_685846/AR_SG_en_SGXC10762612_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/5151daac5e7a2a8b2fb65533ab7ff596_173521/SAR_SG_en_SGXC10762612_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-03-21): https://api.fundinfo.com/document/44dbd3c35e214ac45cbcf488a8718cda_105931/PHS_SG_en_SGXC10762612_YES_2025-03-21.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,-2.04,-1.14,16.5,16.4,,Equities,Asia Pacific,Distributing,No,PASSIVE,No,EIP,0.001
PHILLIP MM S$,MMS,SGD,FTSE SGD 3-month SOR Index,103.39,103.414,0.004,0.063323238,,,Monthly Report (2026-05-29): https://api.fundinfo.com/document/95a4ebbf5f36f407bf0b41a51f35afcc_525896/MR_SG_en_SGXC85914460_YES_2026-05-29.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/48c2c48b96c7e5f15d61fc4e7d11e161_839182/AR_SG_en_SGXC85914460_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/e251bb23e19866cd91c96920f15c56df_551398/SAR_SG_en_SGXC85914460_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2024-09-18): https://api.fundinfo.com/document/642f6e30d455f9f92516cd3846ebb299_1038557/PR_SG_en_SGXC85914460_YES_2024-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2024-09-18): https://api.fundinfo.com/document/3a7dda51a54d0e0eb06dbe6fe9e4ff19_191152/PHS_SG_en_SGXC85914460_YES_2024-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Phillip Capital Management (S) Ltd,0.08,0.27,1.45,1.45,2.33,Fixed Income,Singapore,Distributing,No,PASSIVE,No,EIP,0.001
